0,15,4,15,17,8,8,19,14,14,15,4,18,16,2,9,6,19,0,2
1,0,11,11,12,6,11,18,18,12,10,4,5,0,11,10,15,4,1,19
7,19,0,7,12,5,12,7,17,9,5,3,12,15,7,5,6,12,6,17
15,0,2,0,5,18,0,3,2,18,4,4,13,11,14,4,12,6,1,12
11,5,19,4,0,7,14,18,2,1,5,5,4,1,10,17,19,14,3,0
6,0,2,15,5,0,3,5,17,11,19,19,19,5,5,18,12,0,7,6
18,8,3,19,4,11,0,11,13,4,4,6,13,2,9,12,10,1,0,9
1,15,12,5,6,1,12,0,0,0,10,5,10,11,17,7,4,18,14,1
6,18,2,14,16,4,15,1,0,11,4,8,17,10,14,11,14,1,12,11
17,10,1,13,3,14,1,5,17,0,8,6,11,1,3,13,17,6,3,6
13,16,13,8,3,11,17,8,7,11,0,15,0,19,3,17,17,10,1,9
13,11,0,9,10,4,7,11,5,16,7,0,9,5,7,1,11,4,8,11
9,15,19,18,12,16,7,17,4,4,15,2,0,6,17,10,13,10,9,1
2,0,10,19,3,8,6,4,4,12,16,12,14,0,13,8,18,15,4,1
19,9,7,14,12,10,11,19,7,3,18,7,11,0,0,12,8,10,17,6
17,5,14,7,16,10,5,8,11,5,10,7,0,10,2,0,5,18,11,10
8,6,18,0,15,3,7,15,5,0,16,1,14,5,1,4,0,2,0,11
16,19,7,11,5,1,6,10,12,14,14,17,8,8,17,2,5,0,17,4
6,4,13,11,6,9,12,6,16,19,0,9,13,18,8,0,12,5,0,18
7,10,12,7,3,0,13,8,2,14,2,1,15,18,9,1,0,11,1,0
